City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Luanda,AO,-8.8368,13.2343,77.0,88,75,10.36,broken clouds
1,Albany,US,42.6001,-73.9662,48.38,94,80,2.35,broken clouds
2,Kenai,US,60.5544,-151.2583,24.15,96,90,3.44,light snow
3,Assiniboia,CA,49.6334,-105.9845,-16.69,63,65,13.8,broken clouds
4,Vaini,TO,-21.2,-175.2,77.16,100,90,13.8,moderate rain
5,Praia,CV,14.9215,-23.5087,75.74,60,0,13.8,clear sky
6,Port Alfred,ZA,-33.5906,26.891,68.61,84,71,19.39,broken clouds
7,Hilo,US,19.7297,-155.09,77.61,93,90,3.44,light rain
8,Cape Town,ZA,-33.9258,18.4232,63.01,73,20,1.01,few clouds
9,Nuuk,GL,64.1835,-51.7216,21.81,73,90,11.5,overcast clouds
10,Puerto Baquerizo Moreno,EC,-0.9,-89.6,76.19,78,75,13.8,broken clouds
11,Jamestown,US,42.097,-79.2353,48.02,55,40,1.01,scattered clouds
12,Ushuaia,AR,-54.8,-68.3,46.06,57,40,29.93,light rain
13,Upernavik,GL,72.7868,-56.1549,5.65,75,100,2.95,overcast clouds
14,Mahon,ES,39.8885,4.2658,54.16,100,90,6.91,fog
15,Khatanga,RU,71.9667,102.5,-37.64,96,100,3.6,overcast clouds
16,Cabedelo,BR,-6.9811,-34.8339,83.07,71,52,12.08,broken clouds
17,Alofi,NU,-19.0595,-169.9187,80.49,83,100,8.05,light rain
18,Mto Wa Mbu,TZ,-3.35,35.85,69.82,79,65,5.19,broken clouds
19,Rikitea,PF,-23.1203,-134.9692,77.76,73,18,12.1,light rain
20,Georgetown,MY,5.4112,100.3354,80.53,85,20,5.99,few clouds
21,Fortuna,US,40.5982,-124.1573,49.42,87,75,1.99,broken clouds
22,Sukhobuzimskoye,RU,56.5,93.2728,8.24,91,100,7.36,overcast clouds
23,Kapaa,US,22.0752,-159.319,77.47,85,75,1.99,light rain
24,Klaksvik,FO,62.2266,-6.589,40.12,66,100,20.18,overcast clouds
25,Vao,NC,-22.6667,167.4833,77.23,72,100,20.38,overcast clouds
26,Angoche,MZ,-16.2325,39.9086,79.88,81,37,5.84,scattered clouds
27,Svetlogorsk,BY,52.6333,29.7333,34.09,99,100,5.88,moderate rain
28,Hammerfest,NO,70.6634,23.6821,27.05,63,20,11.5,light snow
29,Hokitika,NZ,-42.7167,170.9667,63.46,70,40,4.81,scattered clouds
30,Garden City,US,42.3256,-83.331,44.55,81,90,4.61,haze
31,Thompson,CA,55.7435,-97.8558,-9.24,77,75,13.8,broken clouds
32,Zaysan,KZ,47.4667,84.8667,2.97,90,100,2.51,overcast clouds
33,Flinders,AU,-34.5833,150.8552,77.05,74,43,7.0,scattered clouds
34,Carlisle,US,40.2015,-77.1889,55.35,83,97,5.08,overcast clouds
35,Lebu,CL,-37.6167,-73.65,60.84,76,1,10.29,clear sky
36,Grove City,US,39.8815,-83.093,55.65,88,90,1.01,overcast clouds
37,Cherskiy,RU,68.75,161.3,-22.52,97,98,2.01,overcast clouds
38,Qaanaaq,GL,77.484,-69.3632,-1.71,65,94,7.27,overcast clouds
39,Xuddur,SO,4.1213,43.8894,69.26,66,23,12.03,few clouds
40,Kortkeros,RU,61.8106,51.5806,14.18,93,100,8.97,overcast clouds
41,Punta Arenas,CL,-53.15,-70.9167,51.91,46,40,21.85,scattered clouds
42,Mataura,NZ,-46.1927,168.8643,58.48,80,100,3.6,overcast clouds
43,Tura,IN,25.5198,90.2201,55.63,73,95,3.78,overcast clouds
44,Hasaki,JP,35.7333,140.8333,32.4,41,0,28.88,clear sky
45,Rocha,UY,-34.4833,-54.3333,75.34,67,47,10.33,scattered clouds
46,Hermanus,ZA,-34.4187,19.2345,60.91,80,96,14.88,overcast clouds
47,Rio Gallegos,AR,-51.6226,-69.2181,57.25,24,20,32.21,few clouds
48,Saint-Philippe,RE,-21.3585,55.7679,74.79,78,70,10.6,broken clouds
49,Bluff,NZ,-46.6,168.3333,58.8,81,94,7.78,overcast clouds
50,Airai,TL,-8.9266,125.4092,61.41,89,90,0.94,overcast clouds
51,Lorengau,PG,-2.0226,147.2712,81.68,78,100,3.29,overcast clouds
52,Atuona,PF,-9.8,-139.0333,78.12,77,7,15.01,light rain
53,Walvis Bay,NA,-22.9575,14.5053,62.1,82,0,5.75,clear sky
54,Bredasdorp,ZA,-34.5322,20.0403,60.28,82,78,8.05,broken clouds
55,Mazara Del Vallo,IT,37.6641,12.588,57.15,81,0,9.55,clear sky
56,Pitimbu,BR,-7.4706,-34.8086,82.99,72,39,11.79,scattered clouds
57,Nanortalik,GL,60.1432,-45.2371,20.32,58,20,7.94,few clouds
58,Yellowknife,CA,62.456,-114.3525,-28.71,81,20,5.75,few clouds
59,Sarangani,PH,5.4033,125.4636,81.1,78,100,27.96,light rain
60,Seoul,KR,37.5683,126.9778,18.84,72,0,2.3,clear sky
61,Cabo San Lucas,MX,22.8909,-109.9124,79.9,77,75,8.99,broken clouds
62,Ponta Do Sol,PT,32.6667,-17.1,71.13,42,85,3.8,overcast clouds
63,Poitiers,FR,46.5833,0.3333,49.24,58,80,4.61,mist
64,Souillac,MU,-20.5167,57.5167,75.58,78,40,3.44,scattered clouds
65,Kaitangata,NZ,-46.2817,169.8464,62.92,70,100,2.42,overcast clouds
66,Butaritari,KI,3.0707,172.7902,80.8,76,99,6.69,light rain
67,Esperance,AU,-33.8667,121.9,62.44,67,100,12.01,overcast clouds
68,Helena,US,46.5927,-112.0361,5.18,63,99,1.99,overcast clouds
69,Tottori,JP,35.5,134.2333,41.07,60,75,26.46,broken clouds
70,Necochea,AR,-38.5473,-58.7368,80.04,42,13,13.62,few clouds
71,Kavieng,PG,-2.5744,150.7967,83.17,73,100,2.91,overcast clouds
72,Grindavik,IS,63.8424,-22.4338,36.07,75,90,23.02,overcast clouds
73,Las Vegas,US,36.175,-115.1372,58.26,49,75,8.05,broken clouds
74,Shelburne,CA,44.0787,-80.2041,39.56,98,97,4.41,overcast clouds
75,Narsaq,GL,60.9167,-46.05,14.22,56,78,8.12,broken clouds
76,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,40,0,11.01,clear sky
77,Mar Del Plata,AR,-38.0023,-57.5575,75.22,92,5,21.99,clear sky
78,Mikkeli,FI,61.6886,27.2723,26.71,80,90,8.05,overcast clouds
79,Bima,ID,-8.4667,118.7167,76.59,92,100,1.01,overcast clouds
80,Aklavik,CA,68.2191,-135.0107,-31.97,67,75,2.3,broken clouds
81,Woodward,US,36.4337,-99.3904,65.97,26,1,18.41,clear sky
82,Paamiut,GL,61.994,-49.6678,13.35,69,93,8.03,overcast clouds
83,Winsum,NL,53.33,6.5208,54.18,95,77,15.97,broken clouds
84,Virginia Beach,US,36.8529,-75.978,59.22,94,90,6.91,overcast clouds
85,New Norfolk,AU,-42.7826,147.0587,80.74,48,0,2.73,clear sky
86,Zemio,CF,5.0314,25.1361,74.77,69,84,4.34,broken clouds
87,Ibiruba,BR,-28.6275,-53.0897,77.16,55,63,9.66,broken clouds
88,Bosaso,SO,11.2842,49.1816,75.94,80,15,4.16,few clouds
89,Nyurba,RU,63.2842,118.3319,-27.85,100,92,2.06,overcast clouds
90,Broken Hill,AU,-31.95,141.4333,82.11,24,82,11.5,broken clouds
91,Sur,OM,22.5667,59.5289,70.74,74,3,6.04,clear sky
92,Miranda,CO,3.2499,-76.2281,80.73,85,62,1.23,broken clouds
93,Puerto Ayora,EC,-0.7393,-90.3518,80.56,84,86,10.0,overcast clouds
94,Sitka,US,57.0531,-135.33,37.29,75,90,14.97,light rain
95,Busselton,AU,-33.65,115.3333,52.09,74,19,8.63,few clouds
96,Dikson,RU,73.5069,80.5464,-14.03,99,98,4.61,overcast clouds
97,Gat,IL,31.61,34.7642,58.08,100,100,6.24,overcast clouds
98,Hobart,AU,-42.8794,147.3294,81.1,77,20,8.05,few clouds
99,Pevek,RU,69.7008,170.3133,-20.47,97,80,2.17,broken clouds
100,Nguruka,TZ,-5.1092,31.0419,65.7,94,100,2.57,moderate rain
101,Zolotukhino,RU,52.0842,36.3772,28.47,98,100,11.74,overcast clouds
102,Cerro Cama,PA,9.03,-79.905,84.88,69,92,8.01,overcast clouds
103,Broome,US,42.2506,-75.833,51.71,74,75,0.0,broken clouds
104,Belaya Gora,RU,68.5333,146.4167,-32.03,98,100,4.63,overcast clouds
105,Ribeira Grande,PT,38.5167,-28.7,59.4,82,40,13.8,scattered clouds
106,Ambon,ID,-3.6954,128.1814,80.64,80,74,4.5,broken clouds
107,Olafsvik,IS,64.8945,-23.7142,33.76,67,100,19.01,overcast clouds
108,Cap Malheureux,MU,-19.9842,57.6142,75.69,75,19,1.99,few clouds
109,Spring Hill,US,28.4769,-82.5255,84.29,64,40,1.01,scattered clouds
110,Victoria,HK,22.2855,114.1577,63.32,83,65,5.01,broken clouds
111,Salalah,OM,17.0151,54.0924,77.09,78,75,5.75,broken clouds
112,Korla,CN,41.7597,86.1469,20.3,65,100,1.23,overcast clouds
113,Tshikapa,CD,-6.4167,20.8,68.86,97,87,0.96,overcast clouds
114,Tuktoyaktuk,CA,69.4541,-133.0374,-25.6,68,90,6.91,light snow
115,Boende,CD,-0.2167,20.8667,71.01,96,97,1.68,overcast clouds
116,Podosinovets,RU,60.2776,47.0659,14.56,94,100,10.22,overcast clouds
117,Pisco,PE,-13.7,-76.2167,75.25,64,0,21.85,clear sky
118,Lavrentiya,RU,65.5833,-171.0,-16.24,87,4,8.68,clear sky
119,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,80,56,16.67,broken clouds
120,Puerto El Triunfo,SV,13.2833,-88.55,97.66,57,25,6.17,scattered clouds
121,The Valley,AI,18.217,-63.0578,80.74,61,20,12.66,few clouds
122,Lagoa,PT,39.05,-27.9833,58.42,71,78,20.27,broken clouds
123,Alberton,CA,46.8168,-64.0654,32.13,85,78,1.48,broken clouds
124,Nikolskoye,RU,59.7035,30.7861,30.4,96,96,5.77,overcast clouds
125,Burnie,AU,-41.0667,145.9167,70.9,51,27,1.57,scattered clouds
126,Mahebourg,MU,-20.4081,57.7,75.49,78,40,3.44,light rain
127,Wagga Wagga,AU,-35.1167,147.3667,79.84,43,1,9.22,clear sky
128,Kavaratti,IN,10.5669,72.642,80.82,73,100,8.93,overcast clouds
129,Bambous Virieux,MU,-20.3428,57.7575,75.45,78,40,3.44,light rain
130,Talnakh,RU,69.4865,88.3972,-23.8,99,100,4.03,overcast clouds
131,Kaeo,NZ,-35.1,173.7833,77.32,60,2,3.13,clear sky
132,Saskylakh,RU,71.9167,114.0833,-45.42,98,99,3.69,overcast clouds
133,Castro,BR,-24.7911,-50.0119,63.95,94,36,4.52,scattered clouds
134,Arman,RU,59.7,150.1667,-5.26,78,100,9.08,overcast clouds
135,Taoudenni,ML,22.6783,-3.9836,70.63,16,0,10.4,clear sky
136,Grand Gaube,MU,-20.0064,57.6608,75.6,75,21,4.0,light rain
137,Perth,AU,-31.9333,115.8333,66.38,68,0,18.41,clear sky
138,Port Elizabeth,ZA,-33.918,25.5701,68.09,82,0,14.97,clear sky
139,Soe,ID,-9.8607,124.284,66.43,89,93,2.91,overcast clouds
140,Komsomolskiy,UZ,40.4272,71.7189,30.92,59,100,0.0,haze
141,La Primavera,CO,5.4906,-70.4092,85.84,49,100,6.78,overcast clouds
142,Padang,ID,-0.9492,100.3543,76.8,88,96,3.56,overcast clouds
143,Leningradskiy,RU,69.3833,178.4167,-24.2,94,30,6.13,scattered clouds
144,Itarema,BR,-2.9248,-39.9167,80.76,78,82,11.72,moderate rain
145,Laguna,US,38.421,-121.4238,55.06,58,1,4.0,clear sky
146,Kodiak,US,57.79,-152.4072,35.69,90,98,4.9,overcast clouds
147,Mezen,RU,65.8522,44.24,14.22,95,100,8.19,light snow
148,Dingle,PH,10.9995,122.6711,74.59,86,100,11.25,overcast clouds
149,Dzhebariki-Khaya,RU,62.2167,135.8,-44.64,100,74,0.72,broken clouds
150,Andapa,MG,-14.65,49.65,69.87,99,97,1.57,overcast clouds
