City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Koumac,NC,2021-12-22 01:15:07,-20.5667,164.2833,82.17,73,60,5.82
1,Lunavada,IN,2021-12-22 01:15:07,23.1333,73.6167,59.9,29,0,3.85
2,Saldanha,ZA,2021-12-22 01:15:08,-33.0117,17.9442,66.25,95,16,8.41
3,Mahenge,TZ,2021-12-22 01:15:09,-8.6833,36.7167,64.27,95,79,3.33
4,Balaipungut,ID,2021-12-22 01:15:09,1.05,101.2833,77.41,95,100,1.28
5,Lata,PT,2021-12-22 01:15:10,40.1629,-8.3327,60.04,90,100,9.24
6,Albany,US,2021-12-22 01:12:19,42.6001,-73.9662,32.81,81,100,1.01
7,Jamestown,US,2021-12-22 01:15:10,42.097,-79.2353,36.99,71,1,4.0
8,Cape Town,ZA,2021-12-22 01:13:46,-33.9258,18.4232,70.27,75,6,1.99
9,Victoria,HK,2021-12-22 01:11:59,22.2855,114.1577,68.25,84,54,1.01
10,Port Hedland,AU,2021-12-22 01:15:12,-20.3167,118.5667,89.65,66,40,16.11
11,Bluff,NZ,2021-12-22 01:15:12,-46.6,168.3333,66.79,63,45,24.07
12,Alta Floresta,BR,2021-12-22 01:15:13,-9.8756,-56.0861,73.17,97,100,0.78
13,Kodiak,US,2021-12-22 01:15:14,57.79,-152.4072,32.85,68,100,8.08
14,Saint-Philippe,RE,2021-12-22 01:15:14,-21.3585,55.7679,78.39,89,100,13.69
15,Yellowknife,CA,2021-12-22 01:15:08,62.456,-114.3525,-21.44,76,90,0.0
16,Hasaki,JP,2021-12-22 01:15:15,35.7333,140.8333,52.29,61,98,10.36
17,Nanortalik,GL,2021-12-22 01:12:23,60.1432,-45.2371,37.2,85,100,12.86
18,Ciudad Bolivar,VE,2021-12-22 01:15:16,8.1222,-63.5497,79.81,75,35,11.61
19,Cayenne,GF,2021-12-22 01:15:16,4.9333,-52.3333,81.09,87,75,7.0
20,Morant Bay,JM,2021-12-22 01:15:17,17.8815,-76.4093,80.22,81,100,3.65
21,Punta Arenas,CL,2021-12-22 01:12:29,-53.15,-70.9167,51.91,71,40,23.02
22,Tiksi,RU,2021-12-22 01:13:35,71.6872,128.8694,-22.31,98,58,9.33
